restaurant_name,1.0,2.0,3.0,4.0,5.0
"""Food That Pleases""",25.0,0.0,0.0,50.0,25.0
101 Bagel Cafe,13.4,3.2,9.7,15.7,58.1
1911 Biscuits & Burgers,3.9,1.6,6.2,10.9,77.3
224 Cafe,25.0,0.0,0.0,10.7,64.3
26 Thai Kitchen and Bar Midtown,2.0,1.5,2.5,15.7,78.2
285 West Soul Food,8.5,4.1,10.9,23.2,53.2
433 Bishop Event Venue,2.1,0.0,6.2,22.9,68.8
5 Napkin Burger,0.0,25.0,50.0,25.0,0.0
5th Street Tapas,0.0,0.0,5.6,0.0,94.4
656 Sports Bar & Grille,13.3,4.5,11.8,24.2,46.1
683 Midtown Bar and Bistro,0.0,25.0,0.0,0.0,75.0
8ARM,7.8,5.1,10.5,16.6,60.0
9 Mile Station,5.9,4.1,8.4,19.2,62.5
A Town Wings,5.3,3.7,5.9,20.0,65.0
A1 Soulfood,10.3,3.4,12.9,18.0,55.4
ABC Chicken and Waffles-Nitro Coffee Counter,3.7,0.0,1.9,8.3,86.1
AJ2 Fish and wings,3.8,1.9,5.8,15.4,73.1
ATB Food Court,4.4,7.4,17.6,14.7,55.9
ATL Wings,7.5,4.3,11.9,22.0,54.3
ATLANTA DREAM WINGS DOWNTOWN,5.2,2.1,6.2,25.0,61.5
AZIO Downtown,0.0,0.0,28.6,28.6,42.9
Abol Cafe and Restaurant,7.7,2.4,10.1,11.5,68.3
Acoustix Jazz Restaurant & Lounge,25.0,6.2,25.0,31.2,12.5
Afrodish Restaurant,12.1,1.7,6.9,6.9,72.4
Agave Restaurant,1.3,2.3,6.0,20.6,69.8
Agency Socialtheque,7.6,3.0,9.1,17.2,63.1
Ah-Ma's Taiwanese Kitchen,5.3,2.1,4.9,21.5,66.2
Aladdin's Mediterranean Grill,6.3,1.8,8.1,19.7,64.1
Ali Baba Mediterranean,6.0,2.1,4.8,11.3,75.8
Allora,16.2,5.4,9.0,17.4,52.1
Alma Cocina Buckhead,2.7,2.7,1.4,6.8,86.5
Alma Cocina Downtown,2.3,2.6,8.4,23.8,62.9
Ameer's Mediterranean Grill,6.0,2.7,6.0,14.0,71.2
American Cut Steakhouse,5.4,2.7,5.1,14.5,72.3
American Eclectic Burger,57.1,7.1,0.0,14.3,21.4
American Wing & Deli,13.2,5.7,7.5,22.6,50.9
American Wings & Seafood,5.3,2.7,10.6,23.6,57.8
Anna's BBQ,4.2,2.0,3.5,19.1,71.1
Annie's Thai Castle,4.1,3.4,9.5,23.6,59.5
Antica Posta Restaurant,4.9,3.2,5.5,13.1,73.3
Antico,2.4,1.7,4.0,14.7,77.2
Apache XLR,5.3,2.6,7.9,22.5,61.8
Applebee's Grill + Bar,20.1,8.5,14.9,21.4,35.0
Apres Diem,2.8,2.2,8.2,26.6,60.2
Apron,6.2,9.2,4.6,26.2,53.8
Aqua Bistro,0.0,0.0,0.0,33.3,66.7
Area 4 Restaurant,11.0,5.6,8.5,14.0,61.0
Arepa Mía,6.2,2.0,4.7,18.4,68.8
Argosy,2.5,2.3,6.2,26.0,63.0
Aria,1.7,2.8,3.9,15.0,76.7
Arnette's Chop Shop,2.9,1.0,4.3,12.6,79.2
Athens Pizza,3.0,2.5,6.9,19.7,67.9
Atkins Park Tavern,6.8,3.2,10.6,22.2,57.1
Atlanta Bar and Grille,10.9,2.2,0.0,0.0,87.0
Atlanta Bread Smyrna,7.6,4.1,11.3,27.9,49.1
Atlanta Breakfast Club,3.5,2.1,4.7,15.2,74.6
Atlanta Grill,2.6,2.6,10.5,21.1,63.2
Atlanta Wings,4.9,2.8,9.8,22.0,60.6
Atlanta's Best Wings,6.5,4.1,9.6,20.2,59.6
Atlantic Grill,12.8,4.7,11.7,20.7,50.0
Atlantic Noodles Restaurant,12.5,4.2,4.2,16.7,62.5
Atlantis Restaurant & Lounge,21.8,9.3,13.6,17.5,37.7
Atmosphere Restaurant,2.0,2.3,5.6,18.3,71.8
Auntie Anne's,55.6,0.0,0.0,11.1,33.3
Azule Restaurant and Lounge,13.5,5.4,5.4,13.5,62.2
B-Side,5.9,2.9,8.8,7.4,75.0
B51,15.8,6.0,15.4,19.0,43.9
BBQ Cafe,0.0,0.0,3.8,19.2,76.9
BEP! Vietnamese Cuisine,0.0,8.6,13.8,13.8,63.8
Babette's Cafe,0.6,0.9,4.3,9.5,84.8
Babs Midtown,4.8,4.6,4.4,14.5,71.7
Bacchanalia,1.2,2.1,4.7,8.8,83.1
Bakaris Plant-based pizza,12.5,4.1,6.9,18.8,57.8
Baked Kitchen,0.0,6.2,6.2,6.2,81.2
Baker Dude Bakery Cafe,6.5,2.6,2.0,4.6,84.3
Baltimore Crab & Seafood,8.1,3.9,8.4,22.1,57.4
Bangkok Thai Restaurant,6.0,4.1,5.7,18.6,65.7
Banshee,0.7,1.1,3.4,16.0,78.7
Bantam + Biddy,6.2,3.8,8.1,23.3,58.6
Bantam Pub,2.3,2.6,7.4,21.3,66.3
Bar Margot,2.4,3.0,4.1,18.5,72.0
Bar Mercado,4.4,3.7,5.6,21.3,65.0
Bar Vegan ATL,7.1,5.6,5.6,9.6,72.2
Baraka Sharwarma Mediterenean,3.4,2.3,3.8,10.7,79.8
Barbecue kitchen,2.7,2.7,10.8,13.5,70.3
Bareburger,20.2,12.2,10.4,15.2,42.0
Basil's Restaurant & Tapas Bar,4.1,3.7,5.1,16.3,70.8
Batter Cookie Dough Buckhead,33.3,0.0,0.0,0.0,66.7
Bayou'Q Atlanta,9.4,1.9,5.7,17.0,66.0
Bazati,18.4,7.9,3.9,14.5,55.3
"Beer Girl, Growlers & Bottleshop",2.0,0.0,3.0,5.1,89.9
BeetleCat,2.9,2.5,5.0,19.5,70.1
Bench Warmers Sports Grill,4.0,4.8,13.8,29.1,48.3
Benihana,23.6,8.2,12.3,16.9,39.1
Best End Brewing Company,1.2,2.4,2.4,14.6,79.3
Betty's Waffle Emporium,0.0,0.0,0.0,0.0,100.0
Bhojanic Food Truck,0.0,0.0,0.0,0.0,100.0
Big Bang Pizza,9.0,6.5,10.9,16.0,57.7
Big Daddy's Cafe,6.5,3.3,8.3,20.3,61.5
Big Daddy's Kitchen,7.2,4.6,10.6,21.8,55.7
Big Easy Grille,4.7,4.1,7.9,25.2,58.1
Big Kahuna Atlanta,6.5,6.5,15.6,25.8,45.6
Big Nick's Place,13.8,1.7,10.3,24.1,50.0
Big Sky Buckhead,8.6,4.8,10.4,27.1,49.2
Biltong Bar,2.4,4.8,4.0,11.1,77.8
Bistro Niko,2.2,2.0,7.5,18.8,69.5
Blackbird,8.6,4.7,7.0,10.9,68.8
Blackstone Restaurant,0.0,0.0,37.5,0.0,62.5
Blu Cantina,7.8,5.0,11.1,23.2,52.9
Blu Cantina Camp Creek,10.1,3.8,12.0,20.3,53.8
Blu Lagoon Bar and Bistro,12.9,3.7,9.2,17.1,57.1
Blue Frog Cantina,0.0,33.3,0.0,33.3,33.3
Blue Moon Pizza,2.9,3.8,8.9,22.0,62.4
Blue Moon Pizza of Buckhead,4.8,1.8,7.1,18.8,67.5
Bocado,3.7,3.3,6.1,25.8,61.1
BoccaLupo,3.0,1.6,3.6,11.7,80.1
Bojangles,15.1,8.8,12.8,18.7,44.6
Bole Ethiopian Restaurant,6.5,1.6,6.1,12.9,72.8
Bonefish Grill,4.6,3.0,9.3,21.9,61.2
Bones Restaurant,2.7,1.5,3.0,12.4,80.5
Boogalou Restaurant & Lounge,15.0,5.5,10.7,23.9,44.9
Boone's,0.0,12.5,12.5,0.0,75.0
Boston Market,3.3,3.6,9.7,25.3,58.1
Botica,3.3,3.3,5.6,11.1,76.7
Boucanes BBQ,14.3,0.0,7.1,7.1,71.4
Boudreaux's On The Roll,6.0,3.0,7.5,22.4,61.2
Bowlero Atlantic Station,7.5,2.3,10.4,18.5,61.3
Boxcar at Hop City West End,3.0,3.2,7.0,18.5,68.3
Brack's Kitchen,10.5,0.0,2.6,0.0,86.8
Brake Pad,3.4,2.9,7.3,29.6,56.8
Braves All Star Grill - Downtown,9.5,5.5,10.4,23.4,51.3
Brezza Cucina,9.8,5.8,11.9,21.3,51.2
BrickStone Cafe & Restaurant,9.1,2.6,5.2,14.3,68.8
Brklyn Kitchen & Lounge (Hookah Lounge),17.0,4.8,5.3,11.2,61.7
Brown Bag Seafood Co.,2.4,1.2,2.4,16.7,77.4
Buena Vida Tapas & Sol,2.3,1.4,4.6,13.3,78.4
Buffalo China,14.9,4.0,10.6,24.4,46.0
Buffalo Wild Wings,25.7,8.9,12.0,19.2,34.3
Buffalo Wild Wings 'GO',25.0,6.2,0.0,12.5,56.2
Bullpen Rib House,12.3,4.9,11.1,27.1,44.7
Burger Joy,31.6,5.3,9.5,17.9,35.8
Burger King,23.5,9.2,16.9,19.8,30.6
BurgerFi,13.3,4.1,5.2,9.2,68.3
By George,0.0,5.7,8.6,5.7,80.0
CEG Bakery,6.5,2.2,2.2,4.3,84.8
CHE BUTTER JONEZ,5.3,0.0,0.0,2.6,92.1
CJ Buffalo,7.1,5.1,26.5,20.4,40.8
CO,6.2,6.0,7.1,18.3,62.4
CRU Hookah Lounge,2.9,2.2,2.9,15.8,76.3
CZ SMOKEZ BBQ,6.8,5.9,8.5,11.0,67.8
Cafe,0.0,0.0,0.0,0.0,100.0
Cafe 200,25.0,0.0,0.0,25.0,50.0
Cafe 458,5.4,1.1,0.0,10.8,82.8
Cafe Alsace,1.3,2.2,0.9,11.3,84.3
Cafe At Pharr,8.4,2.1,8.4,15.4,65.7
Cafe Bistro,11.1,8.3,8.3,11.1,61.1
Cafe Circa,11.2,6.9,11.7,25.9,44.3
Cafe Intermezzo,12.5,12.5,25.0,25.0,25.0
Cafe Kulture,0.0,4.2,4.2,8.3,83.3
Cafe Shekel,10.2,7.3,8.8,19.7,54.0
Cafe Social House,7.0,2.9,5.9,13.2,71.0
Café Aquaria,63.2,7.9,10.5,5.3,13.2
Café Lapin,6.4,2.3,7.6,20.9,62.8
Café Lily,3.9,1.5,6.3,24.8,63.5
California Mart,12.5,0.0,12.5,0.0,75.0
Callie's Hot Little Biscuit,6.6,5.7,10.5,20.1,57.2
Cameli's Pizza,4.7,3.6,8.8,25.1,57.7
Canopy Court,0.0,0.0,0.0,66.7,33.3
Capital City Club,0.0,2.0,8.2,11.2,78.6
Carolyn's Gourmet Cafe,3.4,3.4,19.3,25.0,48.9
Carrabba's Italian Grill,6.9,4.7,9.4,27.3,51.7
Carroll Street Cafe,1.7,1.6,3.7,23.6,69.5
Carver's Country Kitchen,0.0,0.0,0.0,66.7,33.3
Catch 12,7.9,4.9,11.7,23.9,51.6
Chai Peking Chinese Restaurant,5.8,2.9,8.7,20.2,62.5
Chairs Upstairs Bar and Restaurant,4.0,2.7,8.5,23.2,61.5
Champs Chicken,6.7,6.7,13.3,26.7,46.7
Chanterelle's,0.0,6.7,0.0,26.7,66.7
Chappie Daddy's BBQ,0.0,0.0,0.0,0.0,100.0
Char Korean Bar & Grill,6.2,5.8,8.0,20.8,59.1
Chattahoochee Food Works,2.6,6.5,7.8,24.7,58.4
"CheeZies Pizza Atlanta, GA",12.5,0.0,37.5,37.5,12.5
Cheetah Lounge/ Alluvia Restaurant,23.9,4.9,9.8,12.7,48.8
Chef Chen,12.0,4.1,6.0,16.1,61.8
Chef’d Up Atl,22.4,10.3,8.6,13.8,44.8
Chic Restaurant & Lounge,14.3,0.0,14.3,14.3,57.1
Chic-A-Loes,5.4,3.1,7.6,22.9,61.0
Chicago Pizza & Sports Grille,4.0,3.0,7.8,24.7,60.5
Chick-a-Biddy,15.6,10.7,16.1,22.1,35.5
Chick-fil-A,9.2,3.9,8.4,17.7,60.8
Chili's Bar & Grill,22.6,10.4,12.8,17.7,36.6
Chili's Grill & Bar,14.2,8.4,14.2,22.9,40.3
Chin Chin at Howell Mill,10.4,5.6,12.4,20.7,51.0
China Express,10.9,5.1,7.7,25.6,50.6
China Moon Restaurant,17.0,5.2,7.4,25.2,45.2
China Taste,14.5,5.4,3.6,16.3,60.2
Chops & Lobster Bar,2.5,2.5,5.2,13.4,76.5
Chopt Creative Salad Co.,13.1,6.3,10.7,11.7,58.3
Chris' Caribbean Bistro,4.6,3.7,8.3,16.5,67.0
Cinco Mexican Cantina,6.8,6.9,9.7,26.5,50.1
CinéBistro,4.8,4.5,9.6,18.7,62.5
Circle Poke,2.1,0.5,4.1,8.8,84.5
Cirque Blu Seafood House,37.2,7.4,7.4,5.9,42.0
Cirque Daiquiri Bar & Grill,17.9,6.6,12.6,20.4,42.6
City Garden,50.0,0.0,25.0,0.0,25.0
City View Cafe,0.0,0.0,0.0,0.0,100.0
City Winery,16.6,10.7,11.9,17.8,43.0
Clean Juice,3.8,5.1,3.8,12.8,74.4
Clean Start Cleansing Atlanta,2.6,1.7,1.7,3.4,90.5
Clifton Cafe,25.0,0.0,12.5,25.0,37.5
Cold Beer,6.0,9.4,2.6,14.5,67.5
Cold Brew Bar at Atlanta Dairies,0.9,1.3,4.3,11.3,82.3
Community Q BBQ,2.1,2.0,3.9,18.3,73.8
Condesa Coffee,2.7,1.7,6.6,21.0,68.0
Continent Restaurant & Cigar Lounge,6.2,0.0,4.2,6.2,83.3
Cook Out,6.1,4.6,12.2,25.7,51.3
Cooks & Soldiers,1.7,1.7,3.3,13.0,80.3
Copeland's of New Orleans,5.0,3.5,8.2,22.1,61.2
Copper Cove Bistro,12.4,4.6,9.6,14.2,59.2
Coq et Oeufs,33.3,0.0,0.0,0.0,66.7
Cory’s spot,5.6,0.0,5.6,0.0,88.9
Courthouse Cafe,5.7,5.7,0.0,8.6,80.0
Cousin's Maine Lobster,10.4,10.0,9.1,19.5,51.1
Cox Hall,1.7,2.6,15.9,30.9,48.9
Crave Restaurant Atlanta,18.2,9.7,8.4,13.6,50.0
Crawfish Shack Seafood,9.7,4.6,10.4,23.6,51.7
"Crazy ATLanta Travel BAR, Street Food & Event Venue",6.7,3.0,10.1,22.0,58.2
Crispina Ristorante & Pizzeria,4.9,4.9,4.9,13.7,71.5
Curfew ATL Restaurant & Lounge,12.5,12.5,12.5,0.0,62.5
Cuts Steakhouse,6.3,4.8,7.1,20.6,61.3
D&D Barbeque & Ribs,5.2,2.9,12.2,19.0,60.7
DRAGON EXPRESS,25.8,9.7,4.3,17.2,43.0
Daddy D'z BBQ Joynt,10.2,4.6,8.4,20.2,56.6
Dakota Blue,0.0,5.6,5.6,22.2,66.7
Dante's Down the Hatch,5.6,22.2,0.0,16.7,55.6
Debbie's Convenience Store & Soul Food,0.0,0.0,6.2,18.8,75.0
Dee's Cafe,0.0,0.0,0.0,22.2,77.8
Deja Vu Sports Bar & Lounge,8.0,6.7,5.3,12.0,68.0
Del Taco,7.3,5.7,11.9,23.8,51.2
Delbar Middle Eastern,3.1,1.2,1.9,7.8,86.0
Delia's Chicken Sausage Stand,1.7,2.0,4.9,21.1,70.4
Der Biergarten,3.0,2.3,7.7,26.5,60.5
Desi Spice Indian Cuisine,12.6,3.4,3.9,16.2,64.0
Desta Ethiopian Kitchen Emory Point,5.3,0.0,5.3,11.5,77.9
Dipped N Butter,21.1,2.6,7.9,23.7,44.7
Dire Grill,8.2,2.4,1.2,24.7,63.5
Divan Restaurant & Hookah Lounge,3.7,2.2,6.9,17.0,70.2
Dixie Q,1.3,3.9,7.5,22.1,65.3
Doa Vietnamese,0.0,0.0,0.0,0.0,100.0
Doc Green's Gourmet Salad And Sandwich Bar,13.3,3.6,7.2,18.7,57.2
Donnie's Country Cookin',9.8,4.5,11.4,27.3,46.9
Double Zero,3.1,2.6,5.4,22.2,66.8
Downtown Wings,0.0,0.0,0.0,100.0,0.0
Downwind Restaurant and Lounge,1.2,1.7,5.0,27.3,64.8
Dr. Bombay's Underwater Tea Party,4.1,2.4,5.7,19.1,68.8
Dragon Palace Restaurant,43.2,10.8,9.5,10.8,25.7
DrinkShop,0.0,0.0,25.0,37.5,37.5
Dua Hapeville,6.1,2.7,6.1,18.6,66.4
Dua Vietnamese Noodle Soup,5.3,1.3,3.0,22.0,68.4
ESCORPIÓN,3.6,3.6,10.3,31.9,50.6
East Wave Asian Fusion,4.7,2.8,10.3,28.0,54.2
EatMyTaco,50.0,16.7,0.0,0.0,33.3
Eats,2.7,2.4,5.5,20.8,68.6
Ecco Midtown,1.9,1.4,4.8,20.5,71.4
Eclipse di Luna,1.6,1.4,4.9,20.8,71.3
Eddie's Attic,1.7,1.3,4.6,15.2,77.2
Edgar's Proof & Provision,6.7,3.9,8.4,22.5,58.4
Einstein's,5.6,4.6,10.3,28.1,51.4
El Azteca,4.6,2.9,9.6,24.1,58.8
El Potro Mexican Restaurant,4.2,2.7,8.1,21.6,63.4
El Vinedo Local,0.0,0.0,0.0,3.7,96.3
Elbow Room,5.5,2.7,7.5,20.0,64.3
Eleventh Street Pub,1.9,1.4,8.2,19.3,69.1
Elleven45 Lounge,16.0,7.0,14.9,23.6,38.5
Elmyr,5.9,3.2,9.2,19.4,62.4
Elmyriachi,3.1,2.6,8.6,24.9,60.8
Embilta Cafe & Restaurant,2.3,0.4,2.3,13.9,81.2
Empire Sports Bar & Grill,11.8,5.9,8.8,11.8,61.8
Empire State South,2.8,3.6,8.3,24.6,60.7
Endive,0.0,0.0,0.0,1.7,98.3
Esco Seafood,17.7,10.6,16.8,12.4,42.5
Evangadi Restaurant Lounge,4.6,2.9,13.4,21.8,57.1
Everythang Nola,1.0,0.0,1.5,11.2,86.3
Extreme Teriyaki Grill Express,9.5,5.0,9.8,23.5,52.2
FIGO Pasta Food Truck - Edgewood,7.8,7.1,13.8,25.9,45.3
FIGO Pasta Vinings,7.7,6.0,9.3,22.3,54.7
FINA at Wild Heaven,14.3,28.6,7.1,7.1,42.9
Fado Irish Pub Midtown Atlanta,2.5,1.5,10.3,26.1,59.6
Fanplex,0.0,0.0,0.0,20.0,80.0
Farm Burger Buckhead,3.0,2.7,7.3,23.3,63.7
Farm Burger Midtown Atlanta,2.6,3.0,9.5,15.6,69.3
Farm to Ladle,17.0,13.2,7.5,24.5,37.7
Fellini's Pizza,2.5,1.7,5.6,21.9,68.4
Ferst Place,0.0,0.0,0.0,25.0,75.0
Fia Restaurant,3.2,0.0,0.0,6.5,90.3
Field Day,1.6,0.0,1.6,9.5,87.3
Fin & Feathers,6.1,3.1,6.4,15.1,69.3
Fire Hen,0.0,2.8,0.0,2.8,94.4
Firewall Food Stop,3.9,0.0,0.0,5.3,90.8
First Choice Cafe,5.6,2.8,1.4,15.5,74.6
First Watch,5.4,4.5,8.6,22.7,58.8
Fish Bowl Poke,4.5,1.3,5.1,19.7,69.4
Five Guys,5.3,3.3,9.5,23.9,58.0
Flower Child,4.9,0.7,3.3,12.5,78.7
Flying Biscuit Cafe,3.9,2.5,7.5,20.8,65.3
Flying Biscuit Cafe - Brookhaven,5.3,3.8,10.3,23.9,56.7
Flying Biscuit Cafe - Howell Mill Village,4.7,2.7,6.3,23.9,62.4
Flying Biscuit Café - Candler Park,3.5,2.6,7.9,20.8,65.2
Flying Biscuit Café - Midtown,5.5,4.3,9.2,22.0,59.1
Folk Art Restaurant Decatur,3.8,1.0,6.9,18.4,69.8
Fontaine's Oyster House,3.3,2.9,6.5,21.0,66.3
Food Terminal,2.3,1.5,6.4,17.7,72.1
Fortune Cookie Restaurant,10.4,5.8,6.8,15.6,61.4
Fox Bros. Bar-B-Q,2.0,1.6,4.9,17.1,74.4
Fox Bros. Bar-B-Q Westside,12.5,0.0,0.0,12.5,75.0
Foxtrot Liquor Bar,4.9,3.7,7.4,25.2,58.7
Foxx Original Jamaican Restaurant,10.4,5.0,7.7,15.2,61.7
Fresh 4 U,3.5,1.8,1.8,15.8,77.2
Fresh To Order - CNN Center,21.9,6.2,10.9,17.2,43.8
Fresh To Order - Decatur,2.1,2.8,7.2,23.6,64.3
Fresh To Order - Midtown,3.6,1.5,8.6,25.5,60.8
Fried Corn Evrythang,0.0,0.0,0.0,25.0,75.0
Front Page News -Permanently Closed,5.1,4.4,11.2,26.8,52.5
Frost Bistro,22.0,9.5,9.5,13.7,45.3
G's Midtown,4.6,1.5,10.8,20.6,62.4
Garden Parc Brunch & Events,3.0,1.8,4.2,11.4,79.6
Gato,4.0,2.0,5.9,15.4,72.7
Georgia Beer Garden,2.3,1.0,5.6,19.8,71.4
Georgia Boy,3.8,2.5,0.0,5.1,88.6
Get Fruity Cafe,12.7,4.4,7.0,12.7,63.3
Gibney's Pub,5.1,3.1,10.6,31.8,49.4
Gino's NY Pizza Bar,8.5,4.0,9.8,21.7,56.0
Ginya Izakaya,3.0,2.2,5.0,20.6,69.2
Girgiro Restorant,0.0,0.0,2.6,10.5,86.8
Girl Diver Atlanta,6.0,3.6,9.5,11.9,69.0
Gladys Knight's Signature Chicken & Waffles,41.9,11.6,7.6,16.2,22.7
Glenn's Kitchen,2.2,2.2,9.5,24.6,61.5
Gocha's Breakfast Bar,8.6,4.5,5.7,14.1,67.2
Goldbergs Fine Foods - Roswell,7.0,3.8,5.4,19.0,64.9
Goldbergs Fine Foods - Toco Hills,6.6,4.9,9.1,22.5,56.9
Goldbergs Fine Foods - West Paces,4.6,3.4,8.2,25.5,58.4
Golden Eagle,4.2,3.0,4.4,19.3,69.0
Golden Vibes Café,0.0,0.0,0.0,0.0,100.0
Gotham City Eatery,5.6,22.2,33.3,5.6,33.3
Graffiti Atlanta,14.8,0.0,0.0,3.7,81.5
Grana,2.6,3.0,7.3,11.9,75.2
Grand Champion BBQ,11.1,6.7,2.2,2.2,77.8
Grand Champion BBQ (Smyrna),0.0,0.0,0.0,0.0,100.0
Grand Lux Cafe,8.8,4.2,9.3,21.6,56.2
Grecian Gyro,6.2,1.7,4.5,15.7,71.9
Green Soma Vegan Cafe,3.0,4.0,3.0,15.2,74.7
Greenbriar Discount Mall,4.6,4.8,19.6,22.5,48.6
Grindhouse Killer Burgers,1.9,1.9,5.6,22.8,67.9
Grips Good Eats & Sweets,10.6,5.6,5.1,12.6,66.2
Grub Burger Bar,3.4,3.2,7.7,26.5,59.1
Grub Fresh Bowls & Wraps,14.3,8.9,5.4,10.7,60.7
Grub Truck Stop,0.0,0.0,0.0,12.5,87.5
